release_year,track_name,playlist_subgenre,track_popularity
1994,Juicy - 2005 Remaster,southern hip hop,76.0
1994,When I Come Around,permanent wave,75.0
1994,Big Poppa - 2005 Remaster,gangster rap,74.0
1995,Gangsta's Paradise,gangster rap,80.0
1995,Gangsta's Paradise,latin hip hop,80.0
1995,Gangsta's Paradise,post-teen pop,80.0
1995,Gangsta's Paradise,southern hip hop,80.0
1995,Wonderwall - Remastered,permanent wave,79.0
1995,Always Be My Baby,new jack swing,73.0
1995,Don't Look Back in Anger - Remastered,permanent wave,73.0
1995,I Got 5 On It,gangster rap,73.0
1995,I Got 5 On It,hip hop,73.0
1995,I Got 5 On It,southern hip hop,73.0
1996,Wannabe,dance pop,79.0
1996,Wannabe,post-teen pop,79.0
1996,Ambitionz Az A Ridah,gangster rap,77.0
1996,Ambitionz Az A Ridah,hip hop,77.0
1996,Ambitionz Az A Ridah,southern hip hop,77.0
1996,No Diggity,hip pop,76.0
1996,No Diggity,new jack swing,76.0
1996,No Diggity,urban contemporary,76.0
1996,All Eyez On Me,gangster rap,75.0
1996,All Eyez On Me,southern hip hop,75.0
1997,Bitter Sweet Symphony,permanent wave,78.0
1997,Everlong,classic rock,77.0
1997,Everlong,hard rock,77.0
1997,Everlong,permanent wave,77.0
1997,Good Riddance (Time of Your Life),latin hip hop,75.0
1997,Good Riddance (Time of Your Life),latin pop,75.0
1997,Hypnotize - 2014 Remaster,gangster rap,75.0
1997,Corazón partío,latin pop,74.0
1997,Karma Police,permanent wave,74.0
1997,Semi-Charmed Life,permanent wave,74.0
1998,Iris,permanent wave,77.0
1998,Believe,dance pop,76.0
1998,The Kids Aren't Alright,permanent wave,76.0
1998,Careless Whisper,hard rock,75.0
1998,Careless Whisper,permanent wave,75.0
1998,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",classic rock,75.0
1998,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",classic rock,74.0
1998,"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",permanent wave,74.0
1998,Freak On a Leash,hard rock,73.0
1998,Freak On a Leash,permanent wave,73.0
1999,Californication,classic rock,81.0
1999,Californication,permanent wave,81.0
1999,All Star,permanent wave,79.0
1999,All Star,post-teen pop,79.0
1999,No Scrubs,hip pop,79.0
1999,No Scrubs,urban contemporary,79.0
1999,Mambo No. 5 (a Little Bit of...),latin hip hop,76.0
1999,Say My Name,hip pop,76.0
1999,Say My Name,latin hip hop,76.0
1999,Say My Name,urban contemporary,76.0
2000,In the End,hard rock,83.0
2000,In the End,permanent wave,83.0
2000,Yellow,electropop,81.0
2000,Yellow,permanent wave,81.0
2000,The Real Slim Shady,gangster rap,80.0
2000,Kryptonite,permanent wave,77.0
2000,Ms. Jackson,hip pop,77.0
2000,Ms. Jackson,neo soul,77.0
2000,Ms. Jackson,southern hip hop,77.0
2000,Oops!...I Did It Again,post-teen pop,76.0
2001,Chop Suey!,permanent wave,80.0
2001,Last Resort,permanent wave,79.0
2001,How You Remind Me,classic rock,78.0
2001,How You Remind Me,permanent wave,78.0
2001,Toxicity,hard rock,78.0
2001,Drops of Jupiter,permanent wave,77.0
2001,Your Body Is a Wonderland,permanent wave,77.0
2001,I Want It That Way,post-teen pop,76.0
2001,Island In The Sun,indie poptimism,75.0
2001,Island In The Sun,permanent wave,75.0
2002,'Till I Collapse,big room,83.0
2002,The Scientist,electropop,83.0
2002,Can't Stop,permanent wave,80.0
2002,She Will Be Loved - Radio Mix,electropop,80.0
2002,She Will Be Loved - Radio Mix,post-teen pop,80.0
2002,Complicated,post-teen pop,77.0
2002,Dilemma,hip pop,77.0
2002,Dilemma,southern hip hop,77.0
2002,A Thousand Miles,post-teen pop,76.0
2002,This Love,post-teen pop,76.0
2003,Numb,hard rock,81.0
2003,Numb,permanent wave,81.0
2003,Bring Me To Life,permanent wave,78.0
2003,Hey Ya!,latin hip hop,78.0
2003,If I Ain't Got You,urban contemporary,78.0
2003,Toxic,post-teen pop,78.0
2003,Crazy In Love (feat. Jay-Z),latin hip hop,75.0
2003,Are You Gonna Be My Girl,album rock,74.0
2003,Are You Gonna Be My Girl,permanent wave,74.0
2003,I'm Gonna Be (500 Miles),classic rock,74.0
2004,Yeah! (feat. Lil Jon & Ludacris),latin hip hop,79.0
2004,Yeah! (feat. Lil Jon & Ludacris),post-teen pop,79.0
2004,Yeah! (feat. Lil Jon & Ludacris),southern hip hop,79.0
2004,American Idiot,album rock,78.0
